Actions,Nature,Objects,People,Random,Spade,World
Categorizing,Dodo,Fireplace,Mohandas Gandhi,Fan,Lighthouse,Afghanistan
Labeling,Dog,Fishing rod,Muhammad Ali,Feather,Lore,Alaska
Arranging,Dolphin,Flag,Napoleon Bonaparte,Fence,Lost city,Albania
Prioritizing,Donkey,Flask,Neil Armstrong,Ferris wheel,Magma,Algeria
Scheduling,Dormouse,Floppy disk,Nelson Mandela,Fireworks,Mammoth,Amsterdam
Timing,Dove,Flute,Niccolo Machiavelli,Fish,Mansion,Andorra
Recording,Dragonfly,Fly swatter,Nikola Tesla,Flag,Map,Angola
Documenting,Driftwood,Fork,Nostradamus,Flashlight,Maroon,Anguilla
Photographing,Dromedary,Frame,Oprah Winfrey,Flower,Martian,Antigua
Filming,Duck,Fridge,Oscar Wilde,Flute,Maze,Argentina
Video recording,Dune,Frying pan,Ozzy Osbourne,Fog,Mermaid,Armenia
Editing,Eagle,Gavel,Pablo Picasso,Football,Meteor,Aruba
Publishing,Earthworm,Guitar,Pele,Forest,Mirage,Ashgabat
Sharing,Eel,Hairbrush,Peter Pan,Fork,Monsoon,Athens
Posting,Eggplant,Hammer,Phil Collins,Fountain,Monster,Auckland
Tweeting,Eider,Hammock,Plato,Fox,Moonlight,Austria
Blogging,Elephant,Handbag,Pocahontas,Frame,Mountain,Azerbaijan
Vlogging,Elm,Handle,Prince,Frisbee,Mystery,Baghdad
Streaming,Emu,Hanger,Princess Diana,Frog,Myth,Bahia
Broadcasting,Eucalyptus,Hat,Queen Elizabeth,Fruit,Nautilus,Bahrain
Networking,Falcon,Helmet,Ralph Waldo Emerson,Funnel,Nebula,Baku
Connecting,Fawn,Highlighter,Ravi Shankar,Galaxy,Neptune,Bali
Linking,Fern,Hockey stick,Ray Charles,Garage,Ninja,Baltic Sea
Following,Ficus,Hook,Rembrandt,Garden,Nomad,Bangkok
Unfollowing,Fig tree,Hoop,Richard Nixon,Garlic,Oasis,Barbados
Subscribing,Fir tree,Horse,Robin Williams,Giraffe,Obelisk,Bavaria
Unsubscribing,Firefly,Hot dog,Rosa Parks,Globe,Odyssey,Beirut
Liking,Fish,Hourglass,Salvador Dali,Goat,Oracle,Belarus
Disliking,Flamingo,Houseplant,Shakira,Goggles,Orca,Belgium
Commenting,Flea,Hula hoop,Shania Twain,Gorilla,Outlaw,Belize
Reviewing,Flock,Ice cream,Sigmund Freud,Grass,Palace,Benin
Rating,Flower,Igloo,Socrates,Guitar,Pandora,Bermuda
Recommending,Fly,Iron,Stan Lee,Hairbrush,Paradox,Bhutan
Endorsing,Forest,Jack-in-the-box,Stephen Hawking,Hamburger,Pegasus,Bolivia
Promoting,Fox,Jacket,Steven Spielberg,Hammer,Pharaoh,Bosnia
Advertising,Frog,Jar,Tchaikovsky,Hammock,Phenomenon,Botswana
Marketing,Fruit bat,Joystick,Tina Turner,Harp,Phoenix,Bratislava
Selling,Gannet,Jug,Tolstoy,Hat,Pioneer,Brazil
Buying,Garden,Juicer,Usain Bolt,Helicopter,Pirate,Brunei
Trading,Gazelle,Kaleidoscope,Vincent van Gogh,Helmet,Planet,Bucharest
Bargaining,Gecko,Kettle,Vladimir Putin,Hippo,Portal,Budapest
Negotiating,Geranium,Keyboard,Voltaire,Hockey,Predator,Bulgaria
Renting,Geyser,Keychain,Walt Disney,Horse,Prophecy,Burkina Faso
Leasing,Giraffe,Kite,Warren Buffett,Hot air balloon,Prowler,Burundi
Borrowing,Ginkgo,Knife,Whitney Houston,House,Quest,Cambodia
Lending,Giraffe,Ladder,Will Smith,Hurricane,Ranger,Cameroon
Saving,Glacier,Lamp,William Faulkner,Ice cream,Raven,Canberra
Investing,Goldfish,Lantern,William Shakespeare,Igloo,Realm,Cape Town
Spending,Goose,Laptop,Woody Allen,Internet,Rebel,Caracas
Budgeting,Gorilla,Lawnmower,Wright brothers,Insect,Relic,Cayman Islands
Accounting,Gorse,Leaf blower,Yoko Ono,Island,Riddle,Chad
Auditing,Goshawk,Lego,Zac Efron,Jacket,Rift,Channel Islands
Banking,Grass,Letter,Zelda Fitzgerald,Jaguar,Robot,Chile
Insuring,Grasshopper,Life jacket,Zinedine Zidane,Jellyfish,Rocket,China
Taxing,Grizzly bear,Lighter,Zoe Saldana,Jigsaw puzzle,Runes,Colombia
Billing,Grove,Lighthouse model,Aaliyah,Joker,Safari,Comoros
Invoicing,Guanaco,Lock,Aaron Burr,Journey,Sahara,Congo
Paying,Gull,Lollipop,Aaron Copland,Juice,Sapphire,Cook Islands
Receiving,Guppy,Luggage,Aaron Sorkin,Kangaroo,Savannah,Costa Rica
Sending,Haddock,Magnifying glass,Abby Wambach,Ketchup,Scepter,Cote d'Ivoire
Shipping,Halibut,Mailbox,Abel Tasman,Keyboard,Scorpion,Croatia
Delivering,Hare,Map,Abigail Adams,Kite,Secret,Cuba
Mailing,Hawk,Maracas,Ace Frehley,Koala,Seer,Curacao
Packaging,Hazel,Marker,Adam Driver,Koi fish,Shadow,Cyprus
Wrapping,Hedgehog,Mat,Adam Levine,Ladder,Sheriff,Czech Republic
Unwrapping,Heron,Matchbox,Adam Sandler,Lake,Shipwreck,Denmark
Opening,Herring,Mattress,Adele,Lamp,Shogun,Djibouti
Closing,Hibiscus,Measuring tape,Adrianne Palicki,Laptop,Showdown,Dominica
Locking,Hippopotamus,Medal,Aesop,Laundry,Skeleton,Dominican Republic
Unlocking,Holly,Megaphone,Agatha Christie,Lawnmower,Skylark,East Timor
Securing,Honeybee,Microscope,Agnes Moorehead,Leaf,Sleuth,Ecuador
Guarding,Hornet,Milk,Aisha Tyler,Lemon,Sphinx,El Salvador
Protecting,Horse,Milkshake,Al Capone,Library,Spirit,Equatorial Guinea
Defending,Hummingbird,Mirror,Alan Alda,Lightning,Spyglass,Eritrea
Fighting,Hyacinth,Mixer,Alan Ladd,Lighthouse,Squadron,Estonia
Battling,Hyena,Model plane,Alan Rickman,Lion,Starship,Eswatini
Warring,Ibex,Money,Alanis Morissette,Lizard,Stowaway,Ethiopia
Competing,Ibis,Monitor,Albert Camus,Lock,Supernova,Falkland Islands
Racing,Iguana,Mop,Alec Baldwin,Lollipop,Survivor,Faroe Islands
Contesting,Impala,Mortarboard,Alejandro Jodorowsky,Lunchbox,Swamp,Fiji
Challenging,Inchworm,Mouse,Alessandro Volta,Magic,Sword,Finland
Debating,Iris,Mug,Alex Rodriguez,Mailbox,Talisman,France
Discussing,Ivy,Musical box,Alexander Fleming,Mango,Tavern,French Guiana
Arguing,Jackal,Napkin,Alexander Hamilton,Map,Temple,French Polynesia
Disagreeing,Jaguar,Needle,Alfred Nobel,Marble,Thunder,Gabon
Agreeing,Jasmine,Newspaper,Alice Cooper,Mask,Tiger,Gambia
Compromising,Jay,Notebook,Alicia Keys,Matchbox,Tornado,Georgia
Collaborating,Jellyfish,Nutcracker,Allen Ginsberg,Medal,Tower,Ghana
Teaming,Juniper,Oar,Allison Janney,Melon,Trailblazer,Gibraltar
Partnering,Kangaroo,Oboe,Amanda Bynes,Microscope,Treasure,Greece
Assisting,Kelp,Oil can,Amanda Seyfried,Milk,Troglodyte,Greenland
Helping,Kingfisher,Oven,Amartya Sen,Mirror,Tsunami,Grenada
Supporting,Kite,Padlock,Amber Heard,Moon,Tundra,Guadeloupe
Aiding,Koala,Paintbrush,Ambrose Bierce,Mop,Twilight,Guam
Guiding,Koi,Palette,Amelia Earhart,Mountain,Unicorn,Guatemala
Mentoring,Komodo dragon,Pan,Amy Adams,Mouse,Vampire,Guinea
Coaching,Kudu,Paper,Amy Poehler,Muffin,Viking,Guinea-Bissau
Training,Ladybug,Paperclip,Anastacia,Mushroom,Vision,Guyana
Teaching,Lake,Pasta,Andre Agassi,Music,Voyage,Haiti
Instructing,Lamprey,Passport,Andre 3000,Napkin,Vulture,Honduras
Tutoring,Lark,Peeler,Andrea Bocelli,Necklace,Wanderer,Hungary
Lecturing,Lava,Pen,Andres Segovia,Needle,Warrior,Iceland
Presenting,Lemon tree,Pencil,Andrew Carnegie,Nest,Waterfall,India
Demonstrating,Lemur,Perfume,Andrew Jackson,Notebook,Werewolf,Indonesia
Explaining,Leopard,Piano,Andrew Johnson,Octopus,Whale,Iran
Illustrating,Lettuce,Picture,Andrew Lloyd Webber,Omelette,Whirlpool,Iraq
Clarifying,Lichen,Piggy bank,Andrew McCarthy,Orange,Wilderness,Ireland
Describing,Lighthouse,Pillow,Andrew Mellon,Ostrich,Windswept,Israel
Narrating,Lily,Pin,Andrew Wyeth,Oven,Wizard,Italy
Storytelling,Lime tree,Pitcher,Andy Dick,Owl,Wolverine,Jamaica
Reciting,Lion,Pizza,Andy Garcia,Paintbrush,Wormhole,Japan
Reading aloud,Lizard,Plate,Andy Kaufman,Palace,Wraith,Jordan
Singing,Lobster,Plow,Andy Samberg,Palm tree,Zephyr,Kazakhstan
Rapping,Locust,Plunger,Angela Bassett,Panda,Zombie,Kenya
Humming,Loon,Pocket watch,Angela Davis,Pants,Medal,Kiribati
Whistling,Lynx,Pogo stick,Angela Lansbury,Paper,Melon,Kosovo
Playing,Macaw,Potholder,Angie Dickinson,Parade,Microscope,Kuwait
Practicing,Mackerel,Power bank,Anita Baker,Parrot,Milk,Kyrgyzstan
Rehearsing,Magnolia,Printer,Anita Bryant,Passport,Mirror,Laos
Performing,Magpie,Puzzle,Ann Coulter,Peach,Moon,Latvia
Acting,Mallow,Quill,Anna Kendrick,Peacock,Mop,Lebanon
Dancing,Mango tree,Rack,Anne Bancroft,Peanut,Mountain,Lesotho
Miming,Mangrove,Radio,Anne Hathaway,Pear,Mouse,Liberia
Imitating,Manatee,Rake,Anne Rice,Pebble,Muffin,Libya
Mimicking,Maple tree,Razor,Anne Sullivan,Pen,Mushroom,Liechtenstein
Parodying,Marigold,Refrigerator,Annie Lennox,Pencil,Music,Lithuania
